Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
inpActToggleWeaponModeName,UI,Controls Dialog,x,,Toggle Weapon Mode,,,,,,,,,,,,,切換武器模式
inpActToggleWeaponModeDesc,UI,Controls Dialog,x,,"For weapons with multiple modes, cycle between them with this key",,,,,,,,,,,,,用法有多種模式的武器時，在不同模式間循環切換
inpActToggleFireModeName,UI,Controls Dialog,x,,Toggle Firing Mode,,,,,,,,,,,,,切換射擊模式
inpActToggleFireModeDesc,UI,Controls Dialog,x,,"For weapons with multiple firing modes, cycle between them with this key",,,,,,,,,,,,,用法有多種射擊模式的武器時，在不同模式間循環切換
inpActToggleZoomLevelName,UI,Controls Dialog,x,,Toggle Zoom Level,,,,,,,,,,,,,切換放大倍率
inpActToggleZoomLevelDesc,UI,Controls Dialog,x,,Toggle between min/max zoom level on supported scopes,,,,,,,,,,,,,用法支持該功能的瞄具時，在最小和最大倍率之間切換
inpActPerformAltMeleeName,UI,Controls Dialog,x,,Use Alt Melee,,,,,,,,,,,,,用法次要近戰攻擊
inpActPerformAltMeleeDesc,UI,Controls Dialog,x,,Perform a special melee attack on supported weapons,,,,,,,,,,,,,用法支持該功能的武器時，觸發器一次特殊的近戰攻擊
inpActPerformAltInspectName,UI,Controls Dialog,x,,Trigger Alt Inspect,,,,,,,,,,,,,用法次要檢視
inpActPerformAltInspectDesc,UI,Controls Dialog,x,,Individual keybind for inspect. Could also trigger special inspect animation on supported weapons.,,,,,,,,,,,,,武器檢視的獨立按鍵綁定。Mod作者可爲其添加特殊的檢視動畫。
inpActPerformWeaponBlockingName,UI,Controls Dialog,x,,Perform Blocking,,,,,,,,,,,,,用法格擋
inpActPerformWeaponBlockingDesc,UI,Controls Dialog,x,,Hold to block with supported weapons.,,,,,,,,,,,,,長按以用法格擋。
ttCurrentFiringMode,UI,Controls Dialog,x,,Firing Mode: {0},,,,,,,,,,,,,射擊模式：{0}
ttFiringModeSemiAuto,UI,Controls Dialog,x,,Single,,,,,,,,,,,,,半自動
ttFiringModeBurst2,UI,Controls Dialog,x,,2-round Burst,,,,,,,,,,,,,兩連發
ttFiringModeBurst3,UI,Controls Dialog,x,,3-round Burst,,,,,,,,,,,,,三連發
ttFiringModeFullAuto,UI,Controls Dialog,x,,Full-Auto,,,,,,,,,,,,,全自動
ttFiringModePumpAction,UI,Controls Dialog,x,,Pump Action,,,,,,,,,,,,,泵動
ttFiringModeInstant2,UI,Controls Dialog,x,,2-round Rapid Fire,,,,,,,,,,,,,雙發速射
ttFiringModeInstant4,UI,Controls Dialog,x,,4-round Rapid Fire,,,,,,,,,,,,,四發速射
loadingTipKFKeybinds,UI,Loading Screen,x,,KFlib adds multiple custom keybinds via Custom Player Action Manager. You can find them in keyboard/mouse movement settings.,,,,,,,,,,,,,KFlib通過Custom Player Action Manager添加了多個自訂按鍵。你可以在按鍵設定的移動一欄下找到它們。
loadingTipKFKeybinds_title,UI,Loading Screen,x,,Custom Keybinds,,,,,,,,,,,,,自訂按鍵
loadingTipKFCameraAnimation,UI,Loading Screen,x,,"Some weapons have camera animation associated with their animations. If you find it too shaky, you can change the weight in Gears settings. Holding a supported weapon in game also exposes individual weight settings for its predefined camera animation groups.",,,,,,,,,,,,,有些武器動畫會觸發器與之相關聯的攝像頭動畫。如果你覺得晃動太過硬，可以在Gears設定中調節攝像頭動畫強度。在遊戲內拿起對應的武器時，其預定義的各個攝像頭動畫組的單獨強度設定也會出現在選項中。
loadingTipKFCameraAnimation_title,UI,Loading Screen,x,,Camera Animation,,,,,,,,,,,,,攝像頭動畫
statRecoilForceUp,UI,Menu,x,,Vertical Recoil,,,,,,,,,,,,,垂直後坐力
statRecoilForceBack,UI,Menu,x,,Horizontal Recoil,,,,,,,,,,,,,水平反衝
statRecoilForceModifier,UI,Menu,x,,Current Recoil Modifier,,,,,,,,,,,,,當前後坐力減免
kflibTabRecoilSettingsName,UI,Menu,x,,Recoil Settings,,,,,,,,,,,,,後坐力設定
